Natureza,DW,Local,Diff
01.01.01.001 - LOCAÇÃO ,0,201105.62,-201105.62
02.01.04.001 - REVISÕES PREVENTIVAS,-250755.38999999993,-258011.97999999995,7256.590000000026
02.01.04.006 - GASTOS COM PNEUS ,-147037.22999999998,-153826.25,6789.020000000019
02.01.04.002 - MANUTENÇÕES CORRETIVAS,-398761.93000000005,-404888.43000000005,6126.5
01.01.03.001 - REEMB. MULTAS DE TRANSITO,0,1991.82,-1991.82
01.02.01.002 - TAXA MANUTENÇÃO FORA DO PRAZO,0,327.35,-327.35
01.01.03.013 - REEMB. DIVERSOS,0,25,-25
02.01.04.003 - SINISTRO,-74924.42000000001,-74924.42,-1.4551915228366852e-11
02.01.02.002 - TAXA DE LICENCIAMENTO,-88367.19,-88367.19000000002,1.4551915228366852e-11
02.01.03.020 - COMBUSTÍVEL OPERAÇÃO,-68303.9,-68303.90000000001,1.4551915228366852e-11
02.01.01.002 - ENTRADA PARA COMPRA FINANCIADA,0,0,0
02.01.01.001 - COMPRA DE VEÍCULO,0,0,0
01.01.02.001 - VENDA DE VEÍCULO,0,0,0
02.02.01.002 - SEGURO DE VEÍCULOS,0,0,0
02.02.01.001 - SEGURO GARANTIA,0,0,0
02.01.03.011 - SERVIÇO DESPACHANTE,-67915.56999999999,-67915.56999999999,0
02.01.02.004 - EMPLACAMENTO,-1712.9699999999998,-1712.9699999999998,0
02.01.03.009 - VEICULO SUBLOCADO,-13977.46,-13977.46,0
02.01.03.26 - 01.02.03.26 - TRANSLADO SEMINOVOS,-17473,-17473,0
02.02.04.001 - SUBLOCAÇÃO PARA TERCEIRIZAÇÃO,0,0,0
02.01.02.001 - IPVA,-429334.1599999999,-429334.1599999999,0
02.01.03.021 - TRANSLADO OPERAÇÃO,-1400,-1400,0
02.01.03.001 - COMBUSTIVEL CONTRATUAL,-129989.42000000001,-129989.42000000001,0
02.01.03.024 - MENSALIDADE APLICATIVO,-77435.86000000002,-77435.86000000002,0
02.01.04.010 - ACORDO DE SINISTRO DE TRÂNSITO,-43809.06,-43809.06,0
02.01.03.007 - ASSISTENCIA 24H,-32871.36,-32871.36,0
02.01.02.005 - TAXAS DIVERSAS DETRAN,-3735,-3735,0
02.01.03.022 - LAVAGEM / HIGIENIZAÇÃO / POLIMENTO OPERAÇÃO,-20445,-20445,0
02.01.03.006 - LAVAGEM / HIGIENIZAÇÃO / POLIMENTO CONTRATUAL,-35566,-35566,0
02.01.03.015 - SERVIÇO DE BORRACHARIA,-2070,-2070,0
UNKNOWN,-1518,-1518,0
02.01.03.003 - ACESSORIOS,-6334,-6334,0
02.01.03.008 - RASTREAMENTO,-1300,-1300,0
02.01.02.007 - VISTORIA VEICULAR,-1225,-1225,0
02.02.03.001 - MULTAS DE TRÂNSITO,-957.01,-957.01,0
02.01.03.016 - REPOSIÇÃO DE PLACA DE VEÍCULO,-240,-240,0
02.01.03.013 - PEDÁGIOS,-1199.17,-1199.17,0
02.03.01.01 - REEMB. DIVERSOS,-280,-280,0
01.01.03.002 - REEMB. REPAROS DE DEVOLUÇÃO DE VEÍCULO,0,0,0
01.02.01.007 - MULTA DEV. ANTECIPADA DE VEÍCULO,0,0,0
01.02.01.006 - KM EXCEDENTE,0,0,0
01.02.01.005 - TAXA DE REMOÇÃO FORÇADA,0,0,0
01.01.03.006 - COPARTICIPAÇÃO PARCIAL,0,0,0
01.01.03.014 - ACORDO DE SINISTRO,0,0,0
01.01.03.003 - DESGATE PREMATURO,0,0,0
01.01.03.012 - REEMB. TRANSLADO,0,0,0
01.01.03.009 - REEMB. CARRO RESERVA,0,0,0
01.02.01.010 - REAJUSTE,0,0,0
01.01.03.015 - REEMBOLSOS DE PNEUS ,0,0,0
01.01.03.005 - REEMB. DE MAU USO,0,0,0
