NumeroLancamento,DataCompetencia,NaturezaDW,NaturezaLocal,DW,Local,Diff,DescricaoDW,DescricaoLocal
350716,2025-10-01,,01.01.01.001 - LOCAÇÃO ,0,1155390.89,-1155390.89,,FATURAMENTO DE LOCAÇÃO DE 01/10/2025 A 31/10/2025 FA-51188
353572,2025-11-01,01.01.01.001 - LOCAÇÃO ,,1033685.45,0,1033685.45,FATURAMENTO DE LOCAÇÃO DE 01/11/2025 A 30/11/2025 FA-51970,
355067,2025-11-01,01.01.01.001 - LOCAÇÃO ,,734701,0,734701,FATURAMENTO DE LOCAÇÃO CTO-2736 DE 01/11/2025 A 30/11/2025 FA-52408,
352550,2025-10-01,,01.01.01.001 - LOCAÇÃO ,0,734701,-734701,,FATURAMENTO DE LOCAÇÃO CTO-2736 DE 01/10/2025 A 31/10/2025 FA-51608
355221,2025-11-01,01.01.01.001 - LOCAÇÃO ,,704030.14,0,704030.14,FATURAMENTO DE LOCAÇÃO CTO-2822 DE 01/11/2025 A 30/11/2025 FA-52418,
354839,2025-11-01,01.01.01.001 - LOCAÇÃO ,,531267.53,0,531267.53,FATURAMENTO DE LOCAÇÃO CTO-2589 DE 01/11/2025 A 30/11/2025 FA-52361,
352113,2025-10-01,,01.01.01.001 - LOCAÇÃO ,0,531267.53,-531267.53,,FATURAMENTO DE LOCAÇÃO CTO-2589 DE 01/10/2025 A 31/10/2025 FA-51504
350229,2025-10-01,,01.01.01.001 - LOCAÇÃO ,0,407758.33,-407758.33,,
352555,2025-11-01,01.01.01.001 - LOCAÇÃO ,,407703.33,0,407703.33,,
353567,2025-10-01,,01.01.01.001 - LOCAÇÃO ,0,388511.42,-388511.42,,FATURAMENTO DE LOCAÇÃO CTO-2822 DE 01/10/2025 A 31/10/2025 FA-51969
355281,2025-11-01,01.01.01.001 - LOCAÇÃO ,,366923.92,0,366923.92,FATURAMENTO DE LOCAÇÃO CTO-2473 DE 01/11/2025 A 30/11/2025 FA-52423,
352111,2025-10-01,,01.01.01.001 - LOCAÇÃO ,0,366923.92,-366923.92,,FATURAMENTO DE LOCAÇÃO CTO-2473 DE 01/10/2025 A 31/10/2025 FA-51502
355282,2025-11-01,01.01.01.001 - LOCAÇÃO ,,279675,0,279675,FATURAMENTO DE LOCAÇÃO CTO-2803 DE 01/11/2025 A 30/11/2025 FA-52424,
352112,2025-10-01,,01.01.01.001 - LOCAÇÃO ,0,279675,-279675,,FATURAMENTO DE LOCAÇÃO CTO-2803 DE 01/10/2025 A 31/10/2025 FA-51503
354941,2025-11-01,01.01.01.001 - LOCAÇÃO ,,234113.28,0,234113.28,FATURAMENTO DE LOCAÇÃO CTO-2542 DE 01/11/2025 A 30/11/2025 FA-52382,
351975,2025-10-01,,01.01.01.001 - LOCAÇÃO ,0,234113.28,-234113.28,,FATURAMENTO DE LOCAÇÃO CTO-2542 DE 01/10/2025 A 31/10/2025 FA-51490
354859,2025-11-01,01.01.01.001 - LOCAÇÃO ,,224322.84,0,224322.84,FATURAMENTO DE LOCAÇÃO CTO-2407 DE 01/11/2025 A 30/11/2025 FA-52371,
351607,2025-10-01,,01.01.01.001 - LOCAÇÃO ,0,220442.18,-220442.18,,FATURAMENTO DE LOCAÇÃO CTO-2407 DE 01/10/2025 A 31/10/2025 FA-51390
353566,2025-10-01,,01.01.01.001 - LOCAÇÃO ,0,200341.4,-200341.4,,FATURAMENTO DE LOCAÇÃO CTO-2298 DE 01/10/2025 A 31/10/2025 FA-51968
352766,2025-11-01,01.01.01.001 - LOCAÇÃO ,,160119,0,160119,FATURAMENTO DE LOCAÇÃO CTO-2313 DE 01/11/2025 A 30/11/2025 FA-51636,
