IdNota;ValorFaturado;RawRow
2205830;857866.37;"{""IdNota"":""2205830"",""Nota"":""FA-54269"",""DataCompetencia"":""01/02/2026"",""DataEmissao"":""11/02/2026"",""Cliente"":""ABILITY"",""Valor Faturado"":""R$857.866,37"",""ValorCompra"":""R$29.948.886,83""}"
2266983;783940.00;"{""IdNota"":""2266983"",""Nota"":""FA-54623"",""DataCompetencia"":""01/02/2026"",""DataEmissao"":""05/03/2026"",""Cliente"":""SENADO FEDERAL"",""Valor Faturado"":""R$783.940,00"",""ValorCompra"":""R$19.900.934,70""}"
2271615;734701.00;"{""IdNota"":""2271615"",""Nota"":""FA-54631"",""DataCompetencia"":""01/02/2026"",""DataEmissao"":""06/03/2026"",""Cliente"":""CAMARA DOS DEPUTADOS"",""Valor Faturado"":""R$734.701,00"",""ValorCompra"":""R$16.126.145,20""}"
2266955;531267.63;"{""IdNota"":""2266955"",""Nota"":""FA-54622"",""DataCompetencia"":""01/02/2026"",""DataEmissao"":""04/03/2026"",""Cliente"":""CAESB"",""Valor Faturado"":""R$531.267,63"",""ValorCompra"":""R$17.973.631,41""}"
2202572;430428.94;"{""IdNota"":""2202572"",""Nota"":""FA-54183"",""DataCompetencia"":""01/02/2026"",""DataEmissao"":""12/02/2026"",""Cliente"":""BRINKS"",""Valor Faturado"":""R$430.428,94"",""ValorCompra"":""R$16.000.981,51""}"
2284723;366923.92;"{""IdNota"":""2284723"",""Nota"":""FA-54877"",""DataCompetencia"":""01/02/2026"",""DataEmissao"":""05/03/2026"",""Cliente"":""SEEC/DF"",""Valor Faturado"":""R$366.923,92"",""ValorCompra"":""R$13.350.697,10""}"
2284724;279675.00;"{""IdNota"":""2284724"",""Nota"":""FA-54878"",""DataCompetencia"":""01/02/2026"",""DataEmissao"":""05/03/2026"",""Cliente"":""SEEC/DF"",""Valor Faturado"":""R$279.675,00"",""ValorCompra"":""R$7.666.897,50""}"
2284330;237766.08;"{""IdNota"":""2284330"",""Nota"":""FA-54854"",""DataCompetencia"":""01/02/2026"",""DataEmissao"":""10/03/2026"",""Cliente"":""SAD PB"",""Valor Faturado"":""R$237.766,08"",""ValorCompra"":""R$6.226.184,48""}"
2247650;226875.03;"{""IdNota"":""2247650"",""Nota"":""FA-54486"",""DataCompetencia"":""01/02/2026"",""DataEmissao"":""27/02/2026"",""Cliente"":""ALLREDE TELECOM LTDA"",""Valor Faturado"":""R$226.875,03"",""ValorCompra"":""R$6.975.929,86""}"
2204533;160119.00;"{""IdNota"":""2204533"",""Nota"":""FA-54246"",""DataCompetencia"":""01/02/2026"",""DataEmissao"":""11/02/2026"",""Cliente"":""KONECRANES"",""Valor Faturado"":""R$160.119,00"",""ValorCompra"":""R$6.692.373,90""}"
