Contrato de Locação	Contrato Comercial	ValorAquisicao	Estratégia
LOC-2893-1/14	CTO-2897		Não Renova
LOC-2728-1/12	CTO-2728		Não Renova
LOC-2740-1/12	CTO-2740		Não Renova
LOC-2779-2/12	CTO-2779		Não Renova
LOC-2772-1/18	CTO-2772		Não Renova
LOC-2068-1/36	CTO-2798		Não Renova
LOC-2810-1/10	CTO-2810		Não Renova
LOC-2812-1/12	CTO-2812		Não Renova
LOC-2407-74/30	CTO-2407	 R$ 57.191,00 	Renova com troca (zero)
LOC-1646-1/18	CTO-2818		Não Renova
LOC-2407-91/30	CTO-2407	 R$ 57.191,00 	Renova com troca (zero)
LOC-2390-1/24	CTO-2837		Não Renova
LOC-1634-3/36	CTO-2848		Não Renova
LOC-1988-1/24	CTO-2863		Não Renova
LOC-2864-1/12	CTO-2864		Não Renova
LOC-2426-1/12	CTO-2841		Não Renova
LOC-2874-1/5	CTO-2874		Não Renova
LOC-2880-1/20	CTO-2880		Não Renova
LOC-2671-1/12	CTO-2875		Não Renova
LOC-2407-73/30	CTO-2407	 R$ 57.191,00 	Renova com troca (zero)
LOC-2407-81/30	CTO-2407	 R$ 57.191,00 	Renova com troca (zero)
LOC-2407-23/30	CTO-2407	 R$ 53.730,00 	Renova com troca (zero)
LOC-2407-103/30	CTO-2407	 R$ 57.191,00 	Renova com troca (zero)
LOC-2407-75/30	CTO-2407	 R$ 57.191,00 	Renova com troca (zero)
LOC-2407-93/30	CTO-2407	 R$ 57.191,00 	Renova com troca (zero)
LOC-2407-70/30	CTO-2407	 R$ 57.191,00 	Renova com troca (zero)
LOC-2407-42/30	CTO-2407	 R$ 57.191,00 	Renova com troca (zero)
LOC-2407-66/30	CTO-2407	 R$ 57.191,00 	Renova com troca (zero)
LOC-2896-1/12	CTO-2896		Não Renova
LOC-2857-1/12	CTO-2857		Não Renova
LOC-2856-2/12	CTO-2856		Não Renova
LOC-1450-15/48	CTO-2070		Não Renova
LOC-1769-1/48	CTO-1769		Não Renova
LOC-2054-1/48	CTO-2054		Não Renova
LOC-2890-1/2	CTO-2890		Não Renova
LOC-1608-1/24	CTO-1608		Não Renova
LOC-1568-1/36	CTO-1568		Não Renova
LOC-2612-1/24	CTO-2612		Não Renova
LOC-1687-1/48	CTO-1687		Não Renova
LOC-2024-1/48	CTO-2024		Não Renova
LOC-2489-1/12	CTO-2695		Não Renova
LOC-2759-1/6	CTO-2759		Não Renova
LOC-1515-353/36	CTO-1515		Não Renova
LOC-1001-12/12	CTO-1001		Não Renova
LOC-1810-1/48	CTO-1810		Não Renova
LOC-2734-1/12	CTO-2734		Não Renova
LOC-1001-16/12	CTO-1001		Não Renova
LOC-2530-1/24	CTO-2530		Não Renova
LOC-1450-42/48	CTO-2070		Não Renova
LOC-1515-395/36	CTO-1515		Não Renova
LOC-2471-13/30	CTO-2471		Não Renova
LOC-2009-32/60	CTO-2070		Não Renova
LOC-2557-2/12	CTO-2557		Não Renova
LOC-2049-28/60	CTO-2070		Não Renova
LOC-1450-41/48	CTO-2070		Não Renova
LOC-2115-49/36	CTO-2070		Não Renova
LOC-1176-5/36	CTO-1176		Não Renova
LOC-1393-3/24	CTO-1393		Não Renova
LOC-1001-24/12	CTO-1001		Não Renova
LOC-1176-6/36	CTO-1176		Não Renova
LOC-2889-1/12	CTO-2889		Não Renova
LOC-2681-1/12	CTO-2681		Não Renova
LOC-2629-1/24	CTO-2629		Não Renova
LOC-2065-7/24	CTO-2070		Não Renova
LOC-1176-3/36	CTO-1176		Não Renova
LOC-2220-2/6	CTO-2220		Não Renova
LOC-1515-384/36	CTO-1515		Não Renova
LOC-2049-34/60	CTO-2070		Não Renova
LOC-1931-127/48	CTO-1931		Não Renova
LOC-1393-4/24	CTO-1393		Não Renova
LOC-2070-151/48	CTO-2070		Não Renova
LOC-2049-3/60	CTO-2070		Não Renova
LOC-2548-1/12	CTO-2750		Não Renova
LOC-2234-3/24	CTO-2860	 R$ 109.152,00 	Renova com troca (zero)
LOC-2234-1/24	CTO-2838	 R$ 108.265,00 	Renova com troca (zero)
LOC-1515-349/36	CTO-1515	 R$ 74.848,00 	Renova com troca (zero)
LOC-1959-1/48	CTO-1959		Não Renova
LOC-2745-1/6	CTO-2745		Não Renova
LOC-1948-1/48	CTO-1948		Não Renova
LOC-1001-2/12	CTO-1001		Não Renova
LOC-2009-57/60	CTO-2070		Não Renova
LOC-1495-1/48	CTO-1495		Não Renova
LOC-2519-1/24	CTO-2519		Não Renova
LOC-1701-1/36	CTO-2739		Não Renova
LOC-1450-16/48	CTO-2070		Não Renova
LOC-1393-2/24	CTO-1393		Não Renova
LOC-1931-12/48	CTO-1931		Não Renova
LOC-1001-27/12	CTO-1001		Não Renova
LOC-2070-134/48	CTO-2070		Não Renova
LOC-2009-44/60	CTO-2070		Não Renova
LOC-2070-158/48	CTO-2070		Não Renova
LOC-1450-43/48	CTO-2070		Não Renova
LOC-1001-18/12	CTO-1001		Não Renova
LOC-2070-172/48	CTO-2070		Não Renova
LOC-2009-40/60	CTO-2070		Não Renova
LOC-2385-1/24	CTO-2819		Não Renova
LOC-2700-2/12	CTO-2700		Não Renova
LOC-1001-10/12	CTO-1001		Não Renova
LOC-1450-24/48	CTO-2070		Não Renova
LOC-2757-1/6	CTO-2757		Não Renova
LOC-2653-1/6	CTO-2653		Não Renova
